net,length_um
clknet_0_clk,759.1
_0514_,532.05
_0509_,517.54
net114,481.7
_0349_,467.04
_0351_,434.34
_0617_,414.95
_0729_,401.855
clk,386.64
_0700_,382.235
net111,363.67
net47,354.48
net48,347.58
net112,332.9
net86,313.815
net113,302.135
net87,300.56
net109,298.82
net91,298.775
net92,294.32
net88,294.29
net89,293.26
_0735_,284.315
net90,276.62
net83,271.84
net84,262.8
net108,262.08
_0740_,252.56
_0616_,251.9
net73,243.44
net107,235.16
net85,231.82
net93,231.46
net110,231.04
net100,211.58
clknet_4_14_0_clk,206.66
net46,205.975
clknet_4_8_0_clk,204.98
net104,204.3
clknet_4_15_0_clk,202.38
_0728_,202.3
send_dummy,198.56
clknet_4_5_0_clk,194.06
net99,192.3
clknet_4_4_0_clk,189.16
clknet_4_9_0_clk,185.155
_0493_,184.435
net98,181.38
clknet_4_2_0_clk,181.355
net43,178.02
net95,176.06
net106,173.56
net103,172.72
clknet_4_11_0_clk,172.54
clknet_4_13_0_clk,165.48
net101,165.24
_0702_,163.835
net45,162.79
_0347_,161.035
net102,160.84
_0524_,160.25
_0500_,158.66
net105,158.295
net94,157.72
_0350_,155.98
net97,155.3
net82,154.76
_0206_,148.24
_0465_,140.26
_0496_,138.12
net96,138
clknet_4_3_0_clk,137.54
clknet_4_0_0_clk,136.6
_0495_,136.035
clknet_4_12_0_clk,136.02
_0320_,134.56
_0219_,134.32
_0315_,133.3
_0319_,127.995
clknet_4_1_0_clk,125.2
_0313_,117.74
net34,116.72
_0348_,115.36
_0381_,112.16
_0150_,110.62
clknet_4_7_0_clk,108.64
_0738_,108.595
_0159_,105.62
clknet_4_6_0_clk,100.58
net30,100.46
net32,99.9
_0246_,98.56
_0174_,97.08
_0346_,95.8
recv_divcnt\[23\],94.75
net28,94.16
_0300_,93.88
net35,90.95
_0641_,88.86
_0301_,88.82
_0294_,88.44
_0442_,87.64
net10,86.63
_0360_,86.6
recv_divcnt\[7\],86.17
_0283_,85.34
net44,84.74
recv_state\[0\],83.36
_0757_,82.18
clknet_4_10_0_clk,81.32
net29,81.28
_0435_,78.84
_0491_,77.94
_0513_,77.1
_0345_,76.6
recv_divcnt\[28\],75.76
_0236_,75.7
recv_divcnt\[4\],74.73
send_divcnt\[11\],73.4
send_divcnt\[16\],73.38
recv_divcnt\[13\],72.66
recv_divcnt\[10\],71.4
_0288_,71.34
recv_divcnt\[19\],70.9
_0325_,70.62
net9,69.34
_0498_,69.3
recv_divcnt\[5\],69.16
recv_divcnt\[2\],68.24
recv_divcnt\[0\],67
_0726_,66.14
recv_divcnt\[3\],65.8
recv_divcnt\[18\],65.28
send_divcnt\[4\],65.04
_0497_,64.98
_0661_,64.96
_0258_,64.8
recv_divcnt\[29\],64.37
recv_divcnt\[26\],64.23
recv_divcnt\[15\],63.84
_0277_,63.64
net25,62.48
_0290_,62.23
recv_divcnt\[9\],62.04
recv_divcnt\[16\],61.24
_0235_,60.95
_0648_,60.91
recv_divcnt\[11\],60.725
net27,60.32
_0336_,59.93
net31,59.86
_0270_,59.655
_0508_,59.38
recv_divcnt\[12\],59.22
recv_divcnt\[20\],58.92
_0668_,58.54
_0137_,58.24
send_divcnt\[21\],58.13
recv_divcnt\[24\],56.74
_0232_,56.02
recv_divcnt\[6\],54.56
_0525_,54.515
_0587_,54.46
recv_divcnt\[1\],54.16
send_divcnt\[26\],54.055
net26,53.92
send_divcnt\[18\],52.52
_0596_,52.16
recv_divcnt\[14\],50.58
_0619_,50.34
_0466_,50.08
send_divcnt\[20\],50.04
send_divcnt\[28\],49.725
_0677_,48.52
_0698_,48.28
send_divcnt\[27\],48.26
_0189_,48
_0628_,47.92
_0239_,47.725
recv_divcnt\[22\],47.46
_0324_,47.24
_0168_,47.2
_0408_,46.62
_0586_,46.36
net40,45.9
_0686_,45.4
_0527_,45.35
net37,45.3
_0261_,44.74
recv_divcnt\[31\],44.74
net19,44.64
_0229_,44.62
_0205_,44.08
_0692_,44.06
_0766_,43.66
send_divcnt\[22\],43.415
_0286_,43.26
net24,43.04
_0479_,42.94
net23,42.82
send_divcnt\[6\],42.76
net21,41.94
net1,41.225
send_divcnt\[14\],40.98
_0293_,40.86
send_divcnt\[24\],40.855
_0299_,40.8
_0549_,39.44
_0316_,39.195
send_divcnt\[2\],39.055
_0341_,38.88
send_divcnt\[19\],38.7
_0318_,38.43
recv_divcnt\[8\],37.915
recv_divcnt\[30\],37.84
_0302_,37.58
recv_divcnt\[21\],37.52
_0344_,37.46
_0335_,37.22
_0575_,37.04
_0492_,36.96
_0275_,36.64
recv_divcnt\[25\],36.62
_0297_,36.42
net38,36.18
net2,35.605
_0411_,35.26
_0190_,35.18
_0192_,34.82
recv_pattern\[1\],34.32
net20,34.24
send_divcnt\[12\],34.1
_0748_,34
send_divcnt\[25\],33.96
send_divcnt\[3\],33.42
_0722_,33.4
recv_buf_data\[6\],33.4
_0579_,33.34
send_divcnt\[23\],33.1
_0421_,33.025
_0580_,32.88
_0488_,32.84
_0428_,32.76
send_divcnt\[7\],32.68
recv_state\[1\],32.5
send_divcnt\[0\],32.44
_0354_,32.4
_0272_,31.78
_0392_,31.6
_0482_,31.42
send_divcnt\[30\],31.24
send_divcnt\[29\],31.16
send_pattern\[6\],31.12
recv_divcnt\[27\],31.09
_0583_,30.9
_0220_,30.765
net11,30.66
_0306_,30.4
recv_pattern\[2\],30.34
send_bitcnt\[1\],30.34
recv_buf_data\[5\],30.28
_0222_,30.18
_0358_,30.12
_0432_,30.08
_0550_,30
send_bitcnt\[0\],29.275
_0725_,29.06
recv_state\[3\],28.92
_0578_,28.74
_0245_,28.57
_0533_,28.44
send_divcnt\[9\],28.34
_0577_,28.16
_0331_,27.38
_0329_,27.36
_0467_,27.26
_0599_,26.98
recv_state\[2\],26.88
_0243_,26.55
_0312_,26.26
_0338_,26.25
recv_pattern\[4\],26.1
net18,26.04
_0256_,25.98
_0483_,25.91
_0296_,25.9
_0327_,25.8
recv_pattern\[3\],25.74
_0554_,25.62
_0473_,25.6
_0231_,25.56
recv_buf_data\[4\],25.4
send_divcnt\[17\],24.64
send_divcnt\[1\],24.62
_0233_,24.5
_0477_,24.36
recv_buf_data\[1\],24.28
_0291_,24.22
_0474_,24.2
_0415_,24.06
_0591_,23.9
_0262_,23.86
_0226_,23.82
_0471_,23.78
_0557_,23.46
net7,23.125
_0444_,23.12
_0334_,23.08
_0472_,22.98
recv_pattern\[5\],22.96
_0268_,22.9
_0544_,22.84
_0538_,22.545
net17,22.54
_0304_,22.3
_0254_,22.255
net8,22.04
_0535_,21.82
_0040_,21.705
_0204_,21.7
_0311_,21.42
recv_buf_data\[0\],21.28
_0462_,21.2
_0634_,21.14
_0719_,21.08
_0654_,21
_0251_,20.94
_0384_,20.78
send_divcnt\[31\],20.72
_0273_,20.46
_0721_,20.46
_0734_,20.46
_0470_,20.32
net16,20.28
_0298_,20.26
_0264_,20.08
_0356_,19.98
recv_pattern\[6\],19.98
send_divcnt\[13\],19.94
_0143_,19.82
_0163_,19.72
_0328_,19.685
_0412_,19.5
net6,19.485
_0332_,19.4
_0363_,18.94
_0259_,18.82
_0276_,18.78
_0611_,18.68
_0250_,18.66
_0403_,18.46
recv_buf_data\[2\],18.44
_0308_,18.36
_0382_,18.26
_0267_,18.16
_0352_,18.16
_0438_,18
_0225_,17.98
_0144_,17.88
_0281_,17.72
_0433_,17.685
_0257_,17.5
_0165_,17.36
net3,17.125
_0501_,17.12
_0147_,17.08
_0604_,16.98
_0446_,16.88
send_divcnt\[15\],16.88
_0378_,16.84
_0388_,16.76
_0154_,16.71
_0274_,16.68
recv_buf_data\[7\],16.63
_0216_,16.62
_0751_,16.6
_0585_,16.52
_0183_,16.36
_0443_,16.34
_0732_,16.22
_0622_,16.16
send_pattern\[8\],16.12
send_divcnt\[8\],16
_0409_,15.96
_0237_,15.92
net81,15.88
net49,15.84
_0241_,15.8
_0528_,15.8
_0588_,15.78
_0279_,15.68
_0223_,15.5
_0365_,15.5
net36,15.5
_0157_,15.46
recv_buf_data\[3\],15.1
_0367_,15.04
_0760_,15
_0436_,14.96
_0396_,14.92
_0218_,14.84
_0645_,14.6
_0322_,14.58
_0280_,14.34
_0095_,14.325
_0600_,14.28
_0660_,14.08
_0598_,13.98
_0539_,13.94
net74,13.8
_0469_,13.64
recv_pattern\[7\],13.54
_0303_,13.42
recv_pattern\[0\],13.4
_0240_,13.38
_0720_,13.2
_0511_,13.125
_0398_,13.1
_0207_,13.08
_0566_,13.06
send_bitcnt\[2\],13.02
net4,12.915
_0560_,12.8
_0546_,12.78
_0208_,12.7
_0285_,12.7
_0457_,12.525
_0534_,12.36
_0305_,12.34
_0372_,12.28
_0376_,12.28
_0680_,12.25
_0178_,12.18
_0503_,12.18
_0640_,12.16
_0410_,12.15
_0289_,12.1
_0683_,11.96
_0453_,11.86
send_pattern\[1\],11.78
net71,11.74
send_pattern\[3\],11.68
_0448_,11.66
_0404_,11.64
_0405_,11.64
_0739_,11.585
_0247_,11.58
_0224_,11.52
_0606_,11.44
_0649_,11.42
_0494_,11.34
_0665_,11.34
_0689_,11.34
_0394_,11.26
_0724_,11.26
_0375_,11.12
_0431_,10.92
_0573_,10.92
_0543_,10.88
_0589_,10.86
_0227_,10.82
_0377_,10.8
_0180_,10.78
_0321_,10.78
_0373_,10.78
_0134_,10.74
_0568_,10.74
send_divcnt\[5\],10.74
net15,10.74
_0420_,10.56
_0238_,10.54
_0119_,10.365
_0480_,10.34
_0202_,10.32
_0541_,10.28
_0747_,10.28
_0695_,10.26
net60,10.24
_0265_,10.23
_0631_,10.2
_0489_,10.18
_0260_,10.04
_0314_,10
reg_div_we[1],9.99
_0196_,9.98
_0475_,9.96
_0531_,9.96
_0547_,9.9
_0609_,9.88
_0339_,9.86
_0459_,9.86
_0504_,9.82
_0450_,9.78
_0637_,9.76
net14,9.72
_0558_,9.7
send_pattern\[5\],9.7
_0374_,9.66
_0455_,9.62
_0484_,9.58
_0529_,9.54
reg_div_we[3],9.53
_0592_,9.5
_0417_,9.48
_0562_,9.48
_0468_,9.38
_0133_,9.36
_0161_,9.36
_0310_,9.3
send_pattern\[4\],9.22
_0131_,9.2
_0605_,9.08
_0198_,9.06
_0244_,9.06
_0625_,9.06
_0307_,9.02
_0371_,8.96
_0536_,8.96
_0723_,8.96
_0197_,8.94
_0203_,8.9
_0662_,8.86
resetn,8.84
_0437_,8.76
_0763_,8.74
_0402_,8.7
_0567_,8.62
_0287_,8.6
_0155_,8.56
_0510_,8.56
_0343_,8.48
net51,8.48
net53,8.48
net55,8.48
net57,8.48
net59,8.48
net62,8.48
net64,8.48
net66,8.48
net68,8.48
net70,8.48
net80,8.48
_0140_,8.44
_0642_,8.4
_0569_,8.36
_0103_,8.34
_0460_,8.32
_0571_,8.22
_0255_,8.2
net50,8.14
net52,8.14
net54,8.14
net56,8.14
net58,8.14
net61,8.14
net63,8.14
net65,8.14
net67,8.14
net69,8.14
net72,8.14
net79,8.14
_0366_,8.1
_0252_,8.08
_0026_,8.065
_0228_,8.06
_0209_,8.02
net13,8.02
_0730_,7.98
_0754_,7.94
_0478_,7.9
_0456_,7.885
_0110_,7.845
_0122_,7.845
_0094_,7.805
_0487_,7.8
_0317_,7.79
_0565_,7.78
_0626_,7.78
send_bitcnt\[3\],7.78
_0563_,7.7
_0158_,7.68
_0215_,7.68
_0521_,7.68
net75,7.68
_0182_,7.64
_0044_,7.625
_0333_,7.58
_0105_,7.565
reg_div_do[8],7.45
_0266_,7.44
_0413_,7.44
_0516_,7.4
_0034_,7.385
_0425_,7.36
_0029_,7.345
_0655_,7.32
_0036_,7.305
_0011_,7.22
_0635_,7.22
_0540_,7.18
net5,7.125
reg_dat_do[8],7.11
_0574_,7.06
_0602_,7.06
net33,7
net39,7
net41,7
_0458_,6.96
_0059_,6.94
_0736_,6.92
_0169_,6.9
_0022_,6.825
_0217_,6.82
_0767_,6.82
reg_dat_di[1],6.77
reg_dat_di[3],6.77
reg_dat_di[5],6.77
reg_dat_di[7],6.77
reg_dat_re,6.77
reg_div_di[11],6.77
reg_div_di[13],6.77
reg_div_di[15],6.77
reg_div_di[17],6.77
reg_div_di[19],6.77
reg_div_di[1],6.77
reg_div_di[21],6.77
reg_div_di[23],6.77
reg_div_di[25],6.77
reg_div_di[27],6.77
reg_div_di[29],6.77
reg_div_di[31],6.77
reg_div_di[3],6.77
reg_div_di[5],6.77
reg_div_di[7],6.77
reg_div_di[9],6.77
ser_rx,6.77
_0212_,6.76
_0282_,6.76
_0502_,6.76
_0278_,6.72
_0745_,6.72
_0042_,6.705
_0093_,6.685
net76,6.66
net77,6.66
_0361_,6.64
_0368_,6.64
net78,6.64
_0523_,6.6
_0593_,6.6
reg_div_we[0],6.55
reg_div_we[2],6.55
_0041_,6.485
_0027_,6.465
reg_dat_di[0],6.43
reg_dat_di[2],6.43
reg_dat_di[4],6.43
reg_dat_di[6],6.43
reg_dat_we,6.43
reg_div_di[0],6.43
reg_div_di[10],6.43
reg_div_di[12],6.43
reg_div_di[14],6.43
reg_div_di[16],6.43
reg_div_di[18],6.43
reg_div_di[20],6.43
reg_div_di[22],6.43
reg_div_di[24],6.43
reg_div_di[26],6.43
reg_div_di[28],6.43
reg_div_di[2],6.43
reg_div_di[30],6.43
reg_div_di[4],6.43
reg_div_di[6],6.43
reg_div_di[8],6.43
_0039_,6.425
_0108_,6.425
_0603_,6.42
_0608_,6.41
_0712_,6.38
_0121_,6.365
_0187_,6.36
_0755_,6.36
_0139_,6.3
_0423_,6.3
_0705_,6.3
_0230_,6.265
_0149_,6.26
_0188_,6.26
_0326_,6.26
_0506_,6.26
_0647_,6.26
_0691_,6.26
_0756_,6.26
_0765_,6.26
_0035_,6.225
_0200_,6.2
_0418_,6.18
_0708_,6.18
_0445_,6.175
_0556_,6.14
_0644_,6.14
reg_dat_do[3],6.09
reg_div_do[3],6.09
_0340_,6.08
_0581_,6.08
_0615_,6.08
_0309_,6.06
_0181_,6.04
_0595_,6.04
net42,5.98
_0476_,5.96
_0138_,5.94
_0449_,5.94
_0284_,5.9
_0570_,5.86
send_pattern\[2\],5.82
_0323_,5.8
_0614_,5.8
_0636_,5.8
_0703_,5.8
_0065_,5.765
reg_dat_do[0],5.75
reg_dat_do[10],5.75
reg_dat_do[11],5.75
reg_dat_do[12],5.75
reg_dat_do[13],5.75
reg_dat_do[14],5.75
reg_dat_do[15],5.75
reg_dat_do[16],5.75
reg_dat_do[17],5.75
reg_dat_do[18],5.75
reg_dat_do[19],5.75
reg_dat_do[1],5.75
reg_dat_do[20],5.75
reg_dat_do[21],5.75
reg_dat_do[22],5.75
reg_dat_do[23],5.75
reg_dat_do[24],5.75
reg_dat_do[25],5.75
reg_dat_do[26],5.75
reg_dat_do[27],5.75
reg_dat_do[28],5.75
reg_dat_do[29],5.75
reg_dat_do[2],5.75
reg_dat_do[30],5.75
reg_dat_do[31],5.75
reg_dat_do[4],5.75
reg_dat_do[5],5.75
reg_dat_do[6],5.75
reg_dat_do[7],5.75
reg_dat_do[9],5.75
reg_dat_wait,5.75
reg_div_do[0],5.75
reg_div_do[10],5.75
reg_div_do[11],5.75
reg_div_do[12],5.75
reg_div_do[13],5.75
reg_div_do[14],5.75
reg_div_do[15],5.75
reg_div_do[16],5.75
reg_div_do[17],5.75
reg_div_do[18],5.75
reg_div_do[19],5.75
reg_div_do[1],5.75
reg_div_do[20],5.75
reg_div_do[21],5.75
reg_div_do[22],5.75
reg_div_do[23],5.75
reg_div_do[24],5.75
reg_div_do[25],5.75
reg_div_do[26],5.75
reg_div_do[27],5.75
reg_div_do[28],5.75
reg_div_do[29],5.75
reg_div_do[2],5.75
reg_div_do[30],5.75
reg_div_do[31],5.75
reg_div_do[4],5.75
reg_div_do[5],5.75
reg_div_do[6],5.75
reg_div_do[7],5.75
reg_div_do[9],5.75
_0490_,5.74
_0699_,5.74
_0353_,5.72
_0481_,5.72
_0657_,5.72
_0674_,5.72
_0518_,5.7
_0164_,5.68
_0170_,5.68
_0639_,5.68
_0650_,5.68
_0688_,5.68
_0061_,5.645
_0091_,5.62
_0607_,5.62
_0015_,5.605
_0406_,5.6
send_pattern\[7\],5.6
_0746_,5.58
_0123_,5.555
_0057_,5.545
_0629_,5.52
_0532_,5.5
_0663_,5.48
_0096_,5.435
_0142_,5.38
_0342_,5.38
_0383_,5.38
_0385_,5.38
_0370_,5.34
_0391_,5.34
_0512_,5.34
_0630_,5.34
_0076_,5.305
_0390_,5.28
_0548_,5.28
_0753_,5.28
_0201_,5.26
_0499_,5.26
_0682_,5.26
_0271_,5.24
_0176_,5.22
_0694_,5.22
_0407_,5.16
_0646_,5.16
_0671_,5.16
_0737_,5.14
_0687_,5.12
_0211_,5.06
_0253_,4.94
_0452_,4.92
_0537_,4.92
_0679_,4.92
_0744_,4.92
_0561_,4.88
_0062_,4.845
_0194_,4.82
_0400_,4.82
_0038_,4.805
_0330_,4.8
_0355_,4.8
_0359_,4.8
_0424_,4.8
_0597_,4.8
_0656_,4.76
_0741_,4.76
recv_divcnt\[17\],4.76
_0447_,4.7
_0151_,4.66
_0242_,4.6
_0156_,4.56
_0610_,4.56
_0742_,4.56
_0419_,4.54
_0434_,4.46
_0451_,4.46
_0248_,4.44
_0762_,4.42
_0114_,4.385
_0129_,4.385
_0369_,4.36
_0379_,4.36
_0386_,4.36
_0001_,4.34
_0195_,4.34
_0667_,4.34
_0124_,4.24
_0670_,4.22
_0764_,4.2
_0576_,4.14
_0031_,4.125
_0643_,4.1
_0053_,4.045
_0060_,4.045
_0422_,4.02
_0395_,4
ser_tx,3.93
_0067_,3.925
_0073_,3.925
_0116_,3.925
_0526_,3.9
_0750_,3.9
_0414_,3.88
_0545_,3.88
_0553_,3.88
_0555_,3.88
_0559_,3.88
_0676_,3.88
net22,3.88
_0752_,3.84
_0069_,3.805
_0118_,3.805
_0184_,3.68
_0295_,3.68
_0389_,3.68
_0135_,3.64
_0515_,3.64
_0669_,3.64
_0337_,3.56
_0613_,3.56
_0191_,3.54
_0362_,3.54
_0399_,3.54
_0485_,3.54
_0653_,3.54
_0709_,3.54
_0716_,3.54
_0768_,3.54
_0530_,3.52
_0120_,3.465
_0582_,3.44
_0659_,3.44
_0733_,3.44
_0009_,3.42
_0427_,3.42
_0551_,3.42
recv_buf_valid,3.42
_0092_,3.34
_0117_,3.32
_0749_,3.32
_0003_,3.245
_0017_,3.245
_0055_,3.245
_0070_,3.245
_0112_,3.245
_0068_,3.225
_0454_,3.22
_0519_,3.22
_0693_,3.22
_0171_,3.18
_0030_,3.175
_0043_,3.175
_0126_,3.165
_0429_,3.1
_0620_,3.1
_0002_,3.08
_0130_,3.08
_0136_,3.08
_0173_,3.08
_0249_,3.08
_0393_,3.08
_0463_,3.08
_0633_,3.08
_0704_,3.08
_0045_,3.075
_0086_,3.045
_0100_,3.045
_0125_,3.045
_0056_,3.005
_0072_,3.005
_0077_,3.005
_0401_,2.96
_0441_,2.96
_0624_,2.96
_0627_,2.96
_0759_,2.96
send_divcnt\[10\],2.96
_0071_,2.885
_0033_,2.86
_0099_,2.86
_0166_,2.86
_0160_,2.84
_0464_,2.84
_0049_,2.785
_0054_,2.785
_0106_,2.785
_0107_,2.785
_0109_,2.785
_0213_,2.76
_0364_,2.76
_0461_,2.74
_0584_,2.72
_0004_,2.715
_0037_,2.715
_0052_,2.715
_0058_,2.715
_0074_,2.715
_0113_,2.715
_0234_,2.64
_0601_,2.64
_0128_,2.62
_0167_,2.62
_0210_,2.62
_0507_,2.62
_0047_,2.585
_0083_,2.585
_0102_,2.585
_0014_,2.545
_0032_,2.545
_0064_,2.545
_0006_,2.52
_0007_,2.52
_0008_,2.52
_0010_,2.52
_0012_,2.52
_0263_,2.52
_0707_,2.52
_0430_,2.505
_0185_,2.5
_0269_,2.5
_0711_,2.5
_0005_,2.485
_0066_,2.485
_0081_,2.485
_0104_,2.485
_0141_,2.48
_0050_,2.42
_0063_,2.42
_0075_,2.42
_0080_,2.42
_0145_,2.38
_0048_,2.325
_0051_,2.325
_0101_,2.325
_0162_,2.3
_0175_,2.3
_0292_,2.3
_0439_,2.3
_0678_,2.3
_0690_,2.3
_0214_,2.18
_0025_,2.16
_0146_,2.16
_0179_,2.16
_0193_,2.16
_0380_,2.16
_0397_,2.16
_0505_,2.16
_0520_,2.16
_0542_,2.16
_0685_,2.16
_0019_,2.125
_0028_,2.125
_0097_,2.115
_0013_,2.085
_0085_,2.085
_0088_,2.085
_0087_,2.08
_0090_,2.08
_0152_,2.06
_0517_,2.06
_0664_,2.06
_0713_,2.06
_0715_,2.06
_0717_,2.06
_0199_,2.04
_0621_,2.04
_0701_,2.04
_0710_,2.04
_0714_,2.04
_0000_,2.025
_0021_,2.025
_0023_,2.025
_0024_,2.025
_0078_,2.025
_0079_,2.025
_0651_,1.94
_0666_,1.94
_0127_,1.915
_0016_,1.865
_0018_,1.865
_0020_,1.865
_0046_,1.865
_0082_,1.865
_0089_,1.865
_0098_,1.865
_0115_,1.865
_0221_,1.84
_0684_,1.84
net12,1.84
_0681_,1.8
_0153_,1.72
_0731_,1.72
_0416_,1.7
_0618_,1.7
_0084_,1.685
_0590_,1.6
_0612_,1.6
_0697_,1.6
_0727_,1.595
_0658_,1.56
_0186_,1.48
_0675_,1.48
_0696_,1.48
_0623_,1.46
_0652_,1.46
_0672_,1.46
_0761_,1.46
_0111_,1.405
_0132_,1.38
_0177_,1.38
_0387_,1.38
_0426_,1.38
_0564_,1.38
_0706_,1.38
_0594_,1.265
_0552_,1.26
_0632_,1.22
_0638_,1.22
_0743_,1.22
_0440_,1.14
_0673_,1.14
_0172_,1.1
_0148_,1.02
_0758_,1.02
_0522_,0.92
_0572_,0.92
_0357_,0.46
_0486_,0.46
_0718_,0.46
